0.000794525 0.000276518 9.88131e-324 3485.82 9.81694e-06 | 174 2
0.000374181 0.000320495 9.88131e-324 3777.63 6.45601e-06 | 175 2
0.00103652 0.000354897 9.88131e-324 3367 1.01319e-05 | 176 2
0.000155163 0.000228457 9.88131e-324 3807.83 1.43695e-05 | 177 2
0.000546564 0.000313871 9.88131e-324 3679.82 1.96225e-05 | 178 2
0.000661764 0.000147018 9.88131e-324 3624.03 6.90699e-06 | 179 2
0.000797782 0.00128324 9.88131e-324 4028.17 4.89208e-07 | 180 2
0.000808923 0.000137287 9.88131e-324 3552.05 1.54301e-05 | 181 2
0.000973514 0.000408359 9.88131e-324 3376.6 1.30208e-05 | 182 2
0.000738877 5.2558e-05 9.88131e-324 3570.71 1.74658e-05 | 183 2
0.000838662 0.000310934 9.88131e-324 3467.16 1.05449e-05 | 184 2
0.000964398 0.00128149 9.88131e-324 4028.17 1.44764e-05 | 185 2
0.00045368 0.00125536 9.88131e-324 4196.72 1.86569e-05 | 186 2
0.000622802 0.000142211 9.88131e-324 3651.82 1.91804e-05 | 187 2
0.000726117 0.0003666 9.88131e-324 3520.34 7.69052e-06 | 188 2
0.000506652 0.000560222 9.88131e-324 3695.47 1.92767e-05 | 189 2
0.00037472 0.000284795 9.88131e-324 3738.04 1.35101e-05 | 190 2
0.000464426 0.00129511 9.88131e-324 4154.7 1.68978e-06 | 191 2
0.000757858 0.000402983 9.88131e-324 3512.79 1.08164e-05 | 192 2
0.00116278 0.000991256 9.88131e-324 0 1.6275e-05 | 193 2
9.91554e-06 0.000564077 0 9999.67 2.66172e-05 | 194 0
0.000637393 0.000462365 9.88131e-324 3679.22 2.19726e-05 | 195 2
0.000993672 0.000280153 9.88131e-324 3370.03 1.12143e-05 | 196 2
0.00100361 0.000129468 9.88131e-324 3287.72 4.43153e-06 | 197 2
0.000752507 0.00020407 9.88131e-324 3573.88 1.11231e-05 | 198 2
0.000377732 0.000202916 9.88131e-324 3707.46 2.20638e-05 | 199 2
0.000692826 0.000186298 9.88131e-324 3618.25 3.44762e-05 | 200 2
0.000444933 0.000389618 9.88131e-324 3727.46 9.2034e-06 | 201 2
0.000585786 1.31516e-05 9.88131e-324 3644.58 1.03628e-05 | 202 2
0.000464394 0.00042578 9.88131e-324 3682.16 1.13879e-05 | 203 2
0.000128486 0.000395242 9.88131e-324 4205.12 1.33314e-05 | 204 2
0.000436118 0.000629 9.88131e-324 3702.24 1.00221e-05 | 205 2
0.000701214 0.000400867 9.88131e-324 3624.05 2.01095e-05 | 206 2
0.000708001 0.00126857 9.88131e-324 4028.61 2.28455e-05 | 207 2
0.000277482 0.00108425 9.88131e-324 4183.76 8.96134e-06 | 208 2
0.000770248 0.000529841 9.88131e-324 3691.24 1.70593e-05 | 209 2
0.00084554 8.00375e-05 9.88131e-324 3540.57 1.80179e-05 | 210 2
0.000387302 0.000288257 9.88131e-324 3738.44 1.53117e-06 | 211 2
0.000776499 0.000173866 9.88131e-324 3563.33 1.4043e-05 | 212 2
0.000440731 0.000431836 9.88131e-324 3740.32 7.18155e-06 | 213 2
0.000930968 1.66083e-05 9.88131e-324 3386.09 1.11351e-05 | 214 2
0.00049558 9.1437e-05 9.88131e-324 3669.84 2.52541e-05 | 215 2
0.000975862 0.000564355 9.88131e-324 3373.46 1.801e-05 | 216 2
0.00031472 0.000316352 9.88131e-324 3806.39 1.20278e-05 | 217 2
0.000313386 0.00121844 9.88131e-324 4176.29 1.17086e-05 | 218 2
0.000619879 0.000260838 9.88131e-324 3647.08 1.53666e-05 | 219 2
0.000788065 0.000332302 9.88131e-324 3489.06 1.07813e-05 | 220 2
0.000711027 0.00063649 9.88131e-324 3710.41 9.9482e-06 | 221 2
0.000560932 0.00047721 9.88131e-324 3690.52 1.62471e-05 | 222 2
0.00117665 0.000365752 9.88131e-324 3163.66 2.51349e-05 | 223 2
0.000553624 0.000406039 9.88131e-324 3665.43 9.13925e-07 | 224 2
0.00126341 5.85691e-05 4.94066e-324 6.72506 1.57402e-05 | 225 1
0.000434926 0.000493365 9.88131e-324 3729.49 1.11234e-05 | 226 2
0.00055684 0.000412072 9.88131e-324 3675.49 1.51117e-05 | 227 2
0.000691411 0.000257074 9.88131e-324 3619.67 1.55021e-05 | 228 2
0.000497524 0.000134156 9.88131e-324 3670.42 1.76677e-05 | 229 2
0.000678779 0.00105855 9.88131e-324 4023.99 1.33652e-05 | 230 2
0.000327511 0.00116757 9.88131e-324 4114.98 1.28674e-05 | 231 2
0.000616884 0.000286287 9.88131e-324 3656.92 1.50019e-05 | 232 2
0.000304139 0.000357238 9.88131e-324 3877.36 3.18021e-06 | 233 2
0.000813893 3.65289e-05 9.88131e-324 3568.35 1.84145e-05 | 234 2
1.44174e-05 0.00110296 0 8229.15 3.09422e-06 | 235 0
0.0004878 0.000822809 9.88131e-324 4014.38 1.11787e-05 | 236 2
0.000374555 0.000522198 9.88131e-324 3995.38 1.44705e-05 | 237 2
0.000585054 0.000188756 9.88131e-324 3665.79 1.53701e-05 | 238 2
0.00052383 0.000328321 9.88131e-324 3689.41 1.32982e-05 | 239 2
0.000689103 0.000369218 9.88131e-324 3567.07 9.35663e-06 | 240 2
0.000885376 0.000341868 9.88131e-324 3437.63 1.0304e-05 | 241 2
0.000398556 0.000510869 9.88131e-324 3731.25 2.95341e-05 | 242 2
0.000542065 9.82036e-05 9.88131e-324 3668.6 6.19517e-06 | 243 2
0.000693308 0.000331476 9.88131e-324 3500.84 1.30854e-05 | 244 2
0.000689485 0.000595691 9.88131e-324 3693.29 1.77343e-05 | 245 2
0.000675834 0.000639115 9.88131e-324 3703.49 1.96107e-05 | 246 2
0.000387106 0.000964459 9.88131e-324 4071.7 2.05624e-05 | 247 2
0.000974062 0.000613366 9.88131e-324 3373.63 2.6935e-05 | 248 2
0.000346349 0.00019877 9.88131e-324 3687.9 1.42475e-05 | 249 2
0.000298702 0.000320108 9.88131e-324 3807.11 2.01143e-05 | 250 2
0.000279053 0.000765326 9.88131e-324 4023.86 1.0072e-05 | 251 2
0.00052458 7.84338e-05 9.88131e-324 3669.93 1.57977e-05 | 252 2
0.000986466 0.000155015 9.88131e-324 3302.32 5.95655e-06 | 253 2
0.000704213 0.000193077 9.88131e-324 3581.58 1.63335e-05 | 254 2
0.000292812 0.000118263 9.88131e-324 3703.63 3.61756e-06 | 255 2
0.000865672 8.58453e-05 9.88131e-324 3550.21 6.58406e-06 | 256 2
0.000474611 0.0012913 9.88131e-324 4031.97 8.23759e-06 | 257 2
0.000762224 0.00018977 9.88131e-324 3563.62 1.27058e-05 | 258 2
0.000264059 0.000449338 9.88131e-324 4088.88 5.04484e-06 | 259 2
0.000479802 0.000855175 9.88131e-324 4028.45 1.76332e-05 | 260 2
0.000673383 0.000291789 9.88131e-324 3645.95 2.0884e-05 | 261 2
0.000605145 9.33567e-05 9.88131e-324 3649.05 6.23734e-06 | 262 2
0.000685421 0.000942721 9.88131e-324 4017.18 5.28806e-06 | 263 2
0.00125413 0.000417763 4.94066e-324 1.12809 1.4728e-05 | 264 1
0.000704091 0.000537544 9.88131e-324 3694.39 1.84336e-05 | 265 2
0.000126724 0.00119424 9.88131e-324 5229.72 2.12087e-06 | 266 2
0.000387197 0.000185944 9.88131e-324 3698.64 1.25853e-05 | 267 2
0.000590652 0.000259598 9.88131e-324 3650.3 8.18392e-06 | 268 2
0.000954296 0.000461929 9.88131e-324 3401.26 2.13927e-05 | 269 2
0.000472779 0.000734365 9.88131e-324 3714.69 1.32754e-05 | 270 2
